,T1,GMR_scaled_acc_1_1
338,3.38,0.15120352190255926
339,3.39,0.15081900067149928
340,3.4,0.15020754863021568
341,3.41,0.14936286456270975
342,3.42,0.1482929377450124
343,3.43,0.1470195736451848
344,3.44,0.14557663258541578
345,3.45,0.1440072574584406
346,3.46,0.14236286951559585
347,3.47,0.14070988669146117
348,3.48,0.1390730395377839
349,3.49,0.13750050682120202
350,3.5,0.13603595226589288
351,3.5100000000000002,0.1347174523674115
352,3.52,0.1335831029382641
353,3.5300000000000002,0.13267190975044008
354,3.54,0.13198896832584114
355,3.5500000000000003,0.13154790636157163
356,3.56,0.1313573619756001
357,3.5700000000000003,0.13142128354547722
358,3.58,0.1317390661889697
359,3.59,0.1323055057085184
360,3.6,0.13311058181706276
361,3.61,0.134139112034568
362,3.62,0.13537034669357229
363,3.63,0.136777603453121
364,3.64,0.1383280637479926
365,3.65,0.13998286824266537
366,3.66,0.14169764607138163
367,3.67,0.14342358550315343
368,3.68,0.14510909639150735
369,3.69,0.14670202849402342
370,3.7,0.1481523051703133
371,3.71,0.14941580601883891
372,3.72,0.15052979613801054
373,3.73,0.1513960412518742
374,3.74,0.1519960847759082
375,3.75,0.1523230659867953
376,3.7600000000000002,0.15245576171294317
377,3.77,0.15235014522710633
378,3.7800000000000002,0.15201052312804325
379,3.79,0.15150897827610207
380,3.8000000000000003,0.15087014264548218
381,3.81,0.15008316732659216
382,3.8200000000000003,0.14923085073682962
383,3.83,0.1483134077840902
384,3.84,0.14734721123847888
385,3.85,0.14639125208053008
386,3.86,0.1454117776383364
387,3.87,0.14448300838150027
388,3.88,0.1435532877605089
389,3.89,0.14266705978831717
390,3.9,0.14181244352619443
391,3.91,0.14096722190256664
392,3.92,0.14018320059882583
393,3.93,0.13940192277573543
394,3.94,0.1386509812038587
395,3.95,0.13885039618483436
396,3.96,0.14010055573530913
397,3.97,0.14122275723899372
398,3.98,0.14227222553155472
399,3.99,0.14314962982092255
400,4.0,0.1439003667860429
